Time:128Hz,tag
4.2109375000,stop_start
8.1640625000,stop_end
8.1640625000,rest_start
10.1406250000,rest_end
10.1406250000,right_start
14.2031250000,right_end
14.2031250000,rest_start
16.1718750000,rest_end
16.1718750000,rest_start
20.2343750000,rest_end
20.2343750000,rest_start
22.2031250000,rest_end
22.2031250000,rest_start
25.8750000000,rest_end
26.1328125000,rest_start
28.2265625000,rest_end
28.2265625000,stop_start
31.8828125000,stop_end
32.1406250000,rest_start
34.2343750000,rest_end
34.2343750000,rest_start
37.8906250000,rest_end
38.1484375000,rest_start
40.2421875000,rest_end
40.2421875000,rest_start
43.8984375000,rest_end
43.8984375000,rest_start
46.1171875000,rest_end
46.1171875000,left_start
50.1640625000,left_end
50.1640625000,rest_start
51.9921875000,rest_end
52.1250000000,left_start
56.1718750000,left_end
56.1718750000,rest_start
58.1328125000,rest_end
58.1328125000,rest_start
62.,rest_end
62.,rest_start
64.1406250000,rest_end
64.1406250000,left_start
68.1953125000,left_end
68.1953125000,rest_start
70.1484375000,rest_end
70.1484375000,left_start
74.2031250000,left_end
74.2031250000,rest_start
76.1562500000,rest_end
76.1562500000,rest_start
80.2109375000,rest_end
80.2109375000,rest_start
82.1640625000,rest_end
82.1640625000,rest_start
86.2187500000,rest_end
86.2187500000,rest_start
88.1718750000,rest_end
88.1718750000,left_start
92.2265625000,left_end
92.2265625000,rest_start
94.4453125000,rest_end
94.4453125000,right_start
98.4921875000,right_end
98.4921875000,rest_start
100.4531250000,rest_end
100.4531250000,left_start
104.4843750000,left_end
104.4843750000,rest_start
106.4375000000,rest_end
106.4375000000,left_start
110.4687500000,left_end
110.4687500000,rest_start
112.4218750000,rest_end
112.4218750000,rest_start
116.7109375000,rest_end
116.7109375000,rest_start
118.6640625000,rest_end
118.6640625000,stop_start
122.6953125000,stop_end
122.6953125000,rest_start
124.6484375000,rest_end
124.6484375000,left_start
128.6796875000,left_end
128.6796875000,rest_start
130.6328125000,rest_end
130.6328125000,left_start
134.9218750000,left_end
134.9218750000,rest_start
136.8750000000,rest_end
136.8750000000,stop_start
140.9062500000,stop_end
140.9062500000,rest_start
142.9843750000,rest_end
142.9843750000,right_start
146.8906250000,right_end
146.8906250000,rest_start
148.9687500000,rest_end
149.2343750000,rest_start
153.1328125000,rest_end
153.1328125000,rest_start
155.2187500000,rest_end
155.2187500000,left_start
159.1171875000,left_end
159.1171875000,rest_start
161.1953125000,rest_end
161.1953125000,stop_start
165.4921875000,stop_end
165.4921875000,rest_start
167.4453125000,rest_end
167.4453125000,stop_start
171.4765625000,stop_end
171.7343750000,rest_start
173.6875000000,rest_end
173.6875000000,left_start
177.7187500000,left_end
177.7187500000,rest_start
179.6718750000,rest_end
179.6718750000,right_start
183.7031250000,right_end
183.9609375000,rest_start
185.9140625000,rest_end
185.9140625000,rest_start
189.9453125000,rest_end
189.9453125000,rest_start
191.8984375000,rest_end
192.1562500000,stop_start
196.1875000000,stop_end
196.1875000000,rest_start
198.1406250000,rest_end
198.1406250000,stop_start
202.1718750000,stop_end
202.4375000000,rest_start
204.1250000000,rest_end
204.3828125000,right_start
208.4218750000,right_end
208.4218750000,rest_start
210.3671875000,rest_end
210.3671875000,right_start
214.6640625000,right_end
214.6640625000,rest_start
216.7421875000,rest_end
216.7421875000,rest_start
220.6484375000,rest_end
220.9062500000,rest_start
222.9843750000,rest_end
222.9843750000,rest_start
226.8906250000,rest_end
226.8906250000,rest_start
228.9687500000,rest_end
229.2343750000,right_start
233.1328125000,right_end
233.1328125000,rest_start
235.2187500000,rest_end
235.2187500000,right_start
239.3750000000,right_end
239.3750000000,rest_start
241.4609375000,rest_end
241.4609375000,rest_start
245.4921875000,rest_end
245.4921875000,rest_start
247.4453125000,rest_end
247.7031250000,stop_start
251.7265625000,stop_end
251.7265625000,rest_start
253.6718750000,rest_end
253.9296875000,rest_start
257.9453125000,rest_end
257.9453125000,rest_start
259.8906250000,rest_end
259.8906250000,left_start
264.1640625000,left_end
264.1640625000,rest_start
266.2421875000,rest_end
266.2421875000,left_start
270.3828125000,left_end
270.3828125000,rest_start
272.4609375000,rest_end
272.4609375000,stop_start
276.4765625000,stop_end
276.7343750000,rest_start
278.679687,rest_end
278.679687,left_start
282.9531250000,left_end
282.9531250000,rest_start
284.89,rest_end
284.89,stop_start
288.9140625000,stop_end
289.1718750000,rest_start
291.2421875000,rest_end
291.2421875000,rest_start
295.1328125000,rest_end
295.3906250000,rest_start
297.4609375000,rest_end
297.4609375000,rest_start
301.4765625000,rest_end
301.7343750000,rest_start
303.6796875000,rest_end
